"source_file","session_number","start_time","end_time","hydrophone_type","num_samples"
"risso001.log",1,2025-04-11 21:47:37.998,2025-04-11 21:48:07.99,"HF",3600000
"risso001.log",2,2025-04-11 21:55:07.998,2025-04-11 21:55:37.99,"HF",3600000
"risso001.log",3,2025-04-11 22:02:37.998,2025-04-11 22:03:07.99,"HF",3600000
"risso001.log",4,2025-04-11 22:10:07.998,2025-04-11 22:10:37.99,"HF",3600000
"risso001.log",5,2025-04-11 22:17:37.998,2025-04-11 22:18:07.99,"HF",3600000
"risso001.log",6,2025-04-11 22:25:07.998,2025-04-11 22:25:37.99,"HF",3600000
"risso001.log",7,2025-04-11 22:32:37.998,2025-04-11 22:33:07.99,"HF",3600000
"risso001.log",1,2025-04-11 21:40:10.004,2025-04-11 22:40:07.005,"LF",7195000
"risso001.log",8,2025-04-11 22:40:07.998,2025-04-11 22:40:37.99,"HF",3600000
"risso001.log",9,2025-04-11 22:47:37.998,2025-04-11 22:48:07.99,"HF",3600000
"risso001.log",10,2025-04-11 22:55:07.998,2025-04-11 22:55:37.99,"HF",3600000
"risso001.log",11,2025-04-11 23:02:37.998,2025-04-11 23:03:07.99,"HF",3600000
"risso001.log",12,2025-04-11 23:10:07.998,2025-04-11 23:10:37.99,"HF",3600000
"risso001.log",13,2025-04-11 23:17:37.998,2025-04-11 23:18:07.99,"HF",3600000
"risso001.log",14,2025-04-11 23:25:07.998,2025-04-11 23:25:37.99,"HF",3600000
"risso001.log",15,2025-04-11 23:32:37.998,2025-04-11 23:33:07.99,"HF",3600000
"risso001.log",2,2025-04-11 22:40:07.505,2025-04-11 23:40:07.005,"LF",7200000
"risso001.log",16,2025-04-11 23:40:07.998,2025-04-11 23:40:37.99,"HF",3600000
"risso001.log",3,2025-04-11 23:40:07.505,2025-04-11 23:44:03.005,"LF",472000
"risso002.log",1,2025-04-14 17:59:14.998,2025-04-14 17:59:44.99,"HF",3600000
"risso002.log",2,2025-04-14 18:06:44.998,2025-04-14 18:07:14.99,"HF",3600000
"risso002.log",3,2025-04-14 18:14:14.998,2025-04-14 18:14:44.99,"HF",3600000
"risso002.log",4,2025-04-14 18:21:44.998,2025-04-14 18:22:14.99,"HF",3600000
"risso002.log",5,2025-04-14 18:29:14.998,2025-04-14 18:29:44.99,"HF",3600000
"risso002.log",6,2025-04-14 18:36:44.998,2025-04-14 18:37:14.99,"HF",3600000
"risso002.log",7,2025-04-14 18:44:14.998,2025-04-14 18:44:44.99,"HF",3600000
"risso002.log",1,2025-04-14 17:51:47.004,2025-04-14 18:51:44.005,"LF",7195000
"risso002.log",8,2025-04-14 18:51:44.998,2025-04-14 18:52:14.99,"HF",3600000
"risso002.log",9,2025-04-14 18:59:14.998,2025-04-14 18:59:44.99,"HF",3600000
"risso002.log",10,2025-04-14 19:06:44.998,2025-04-14 19:07:14.99,"HF",3600000
"risso002.log",11,2025-04-14 19:14:14.998,2025-04-14 19:14:44.99,"HF",3600000
"risso002.log",12,2025-04-14 19:21:44.998,2025-04-14 19:22:14.99,"HF",3600000
"risso002.log",13,2025-04-14 19:29:14.998,2025-04-14 19:29:44.99,"HF",3600000
"risso002.log",14,2025-04-14 19:36:44.998,2025-04-14 19:37:14.99,"HF",3600000
"risso002.log",15,2025-04-14 19:44:14.998,2025-04-14 19:44:44.99,"HF",3600000
"risso002.log",2,2025-04-14 18:51:44.505,2025-04-14 19:51:44.005,"LF",7200000
"risso002.log",16,2025-04-14 19:51:44.998,2025-04-14 19:52:14.99,"HF",3600000
"risso002.log",17,2025-04-14 19:59:14.998,2025-04-14 19:59:44.99,"HF",3600000
"risso002.log",18,2025-04-14 20:06:44.998,2025-04-14 20:07:14.99,"HF",3600000
"risso002.log",19,2025-04-14 20:14:14.998,2025-04-14 20:14:44.99,"HF",3600000
"risso002.log",20,2025-04-14 20:21:44.998,2025-04-14 20:22:14.99,"HF",3600000
"risso002.log",21,2025-04-14 20:29:14.998,2025-04-14 20:29:44.99,"HF",3600000
"risso002.log",22,2025-04-14 20:36:44.998,2025-04-14 20:37:14.99,"HF",3600000
"risso002.log",23,2025-04-14 20:44:14.998,2025-04-14 20:44:44.99,"HF",3600000
"risso002.log",3,2025-04-14 19:51:44.505,2025-04-14 20:51:44.005,"LF",7200000
"risso002.log",24,2025-04-14 20:51:44.998,2025-04-14 20:52:14.99,"HF",3600000
"risso002.log",25,2025-04-14 20:59:14.998,2025-04-14 20:59:44.99,"HF",3600000
"risso002.log",26,2025-04-14 21:06:44.998,2025-04-14 21:07:14.99,"HF",3600000
"risso002.log",27,2025-04-14 21:14:14.998,2025-04-14 21:14:44.99,"HF",3600000
"risso002.log",28,2025-04-14 21:21:44.998,2025-04-14 21:22:14.99,"HF",3600000
"risso002.log",29,2025-04-14 21:29:14.998,2025-04-14 21:29:44.99,"HF",3600000
"risso002.log",30,2025-04-14 21:36:44.998,2025-04-14 21:37:14.99,"HF",3600000
"risso002.log",31,2025-04-14 21:44:14.998,2025-04-14 21:44:44.99,"HF",3600000
"risso002.log",4,2025-04-14 20:51:44.505,2025-04-14 21:51:44.005,"LF",7200000
"risso002.log",32,2025-04-14 21:51:44.998,2025-04-14 21:52:14.99,"HF",3600000
"risso002.log",33,2025-04-14 21:59:14.998,2025-04-14 21:59:44.99,"HF",3600000
"risso002.log",34,2025-04-14 22:06:44.998,2025-04-14 22:07:14.99,"HF",3600000
"risso002.log",35,2025-04-14 22:14:14.998,2025-04-14 22:14:44.99,"HF",3600000
"risso002.log",36,2025-04-14 22:21:44.998,2025-04-14 22:22:14.99,"HF",3600000
"risso002.log",37,2025-04-14 22:29:14.998,2025-04-14 22:29:44.99,"HF",3600000
"risso002.log",38,2025-04-14 22:36:44.998,2025-04-14 22:37:14.99,"HF",3600000
"risso002.log",39,2025-04-14 22:44:14.998,2025-04-14 22:44:44.99,"HF",3600000
"risso002.log",5,2025-04-14 21:51:44.505,2025-04-14 22:51:44.005,"LF",7200000
"risso002.log",40,2025-04-14 22:51:44.998,2025-04-14 22:52:14.99,"HF",3600000
"risso002.log",41,2025-04-14 22:59:14.998,2025-04-14 22:59:44.99,"HF",3600000
"risso002.log",42,2025-04-14 23:06:44.998,2025-04-14 23:07:14.99,"HF",3600000
"risso002.log",43,2025-04-14 23:14:14.998,2025-04-14 23:14:44.99,"HF",3600000
"risso002.log",44,2025-04-14 23:21:44.998,2025-04-14 23:22:14.99,"HF",3600000
"risso002.log",45,2025-04-14 23:29:14.998,2025-04-14 23:29:44.99,"HF",3600000
"risso002.log",46,2025-04-14 23:36:44.998,2025-04-14 23:37:14.99,"HF",3600000
"risso002.log",47,2025-04-14 23:44:14.998,2025-04-14 23:44:44.99,"HF",3600000
"risso002.log",6,2025-04-14 22:51:44.505,2025-04-14 23:51:44.005,"LF",7200000
"risso002.log",48,2025-04-14 23:51:44.998,2025-04-14 23:52:14.99,"HF",3600000
"risso002.log",49,2025-04-14 23:59:14.998,2025-04-14 23:59:44.99,"HF",3600000
"risso002.log",50,2025-04-15 00:06:44.998,2025-04-15 00:07:14.99,"HF",3600000
"risso002.log",51,2025-04-15 00:14:14.998,2025-04-15 00:14:44.99,"HF",3600000
"risso002.log",52,2025-04-15 00:21:44.998,2025-04-15 00:22:14.99,"HF",3600000
"risso002.log",53,2025-04-15 00:29:14.998,2025-04-15 00:29:44.99,"HF",3600000
"risso002.log",54,2025-04-15 00:36:44.998,2025-04-15 00:37:14.99,"HF",3600000
"risso002.log",55,2025-04-15 00:44:14.998,2025-04-15 00:44:44.99,"HF",3600000
"risso002.log",7,2025-04-14 23:51:44.505,2025-04-15 00:51:44.005,"LF",7200000
"risso002.log",56,2025-04-15 00:51:44.998,2025-04-15 00:52:14.99,"HF",3600000
"risso002.log",57,2025-04-15 00:59:14.998,2025-04-15 00:59:44.99,"HF",3600000
"risso002.log",58,2025-04-15 01:06:44.998,2025-04-15 01:07:14.99,"HF",3600000
"risso002.log",59,2025-04-15 01:14:14.998,2025-04-15 01:14:44.99,"HF",3600000
"risso002.log",60,2025-04-15 01:21:44.998,2025-04-15 01:22:14.99,"HF",3600000
"risso002.log",61,2025-04-15 01:29:14.998,2025-04-15 01:29:44.99,"HF",3600000
"risso002.log",62,2025-04-15 01:36:44.998,2025-04-15 01:37:14.99,"HF",3600000
"risso002.log",63,2025-04-15 01:44:14.998,2025-04-15 01:44:44.99,"HF",3600000
"risso002.log",8,2025-04-15 00:51:44.505,2025-04-15 01:51:44.005,"LF",7200000
"risso002.log",64,2025-04-15 01:51:44.998,2025-04-15 01:52:14.99,"HF",3600000
"risso002.log",65,2025-04-15 01:59:14.998,2025-04-15 01:59:44.99,"HF",3600000
"risso002.log",66,2025-04-15 02:06:44.998,2025-04-15 02:07:14.99,"HF",3600000
"risso002.log",67,2025-04-15 02:14:14.998,2025-04-15 02:14:44.99,"HF",3600000
"risso002.log",68,2025-04-15 02:21:44.998,2025-04-15 02:22:14.99,"HF",3600000
"risso002.log",69,2025-04-15 02:29:14.998,2025-04-15 02:29:44.99,"HF",3600000
"risso002.log",70,2025-04-15 02:36:44.998,2025-04-15 02:37:14.99,"HF",3600000
"risso002.log",71,2025-04-15 02:44:14.998,2025-04-15 02:44:44.99,"HF",3600000
"risso002.log",9,2025-04-15 01:51:44.505,2025-04-15 02:51:44.005,"LF",7200000
"risso002.log",72,2025-04-15 02:51:44.998,2025-04-15 02:52:14.99,"HF",3600000
"risso002.log",73,2025-04-15 02:59:14.998,2025-04-15 02:59:44.99,"HF",3600000
"risso002.log",74,2025-04-15 03:06:44.998,2025-04-15 03:07:14.99,"HF",3600000
"risso002.log",75,2025-04-15 03:14:14.998,2025-04-15 03:14:44.99,"HF",3600000
"risso002.log",76,2025-04-15 03:21:44.998,2025-04-15 03:22:14.99,"HF",3600000
"risso002.log",77,2025-04-15 03:29:14.998,2025-04-15 03:29:44.99,"HF",3600000
